"","lfcM","pM","lfcV","pV"
"Abl1-Tyrosine- kinase",0.0303860409911347,0.901385919622655,0.510556670217292,1.385922142055e-05
"AC249_AIPGENE1009-complement C3",0.103918426886899,0.830819533174072,2.13417432239981,1.34111639758763e-19
"AC249_AIPGENE11629-Phospholipase A2",0.0904180979147067,0.895790790973774,-0.0615250611007687,0.898989501620479
"AC249_AIPGENE16212-Histone H2B type 1",1.17543076358187,NA,-0.438969876364671,NA
"AC249_AIPGENE18370-pentraxin fusion -like",0.197494125411801,0.763239994456988,-0.571126867988147,0.156354418252589
"AC249_AIPGENE20551-Indoleamine 2,3-dioxygenase",-0.421285142682868,NA,-0.0239236708482055,0.981805085451958
"AC249_AIPGENE22765-ras-related Ral-a",-0.447617566303202,0.316992842129549,-0.0690875180077729,0.876003275042602
"AC249_AIPGENE23051-Ubiquitin",-0.867777869880124,NA,-0.456963119789589,0.404654502438813
"AC249_AIPGENE24701-peptidyl-prolyl cis-trans isomerase-like",0.282165471185004,0.286816174691248,-0.149025454493594,0.523139920441498
"AC249_AIPGENE2503-CMP-sialic acid transporter 1",0.160501023897785,0.574667354361969,0.609857613045612,0.000597710112482426
"AC249_AIPGENE6140-histone H2A-like",0.119366282092728,NA,0.210047217462911,0.800030130822784
"AC249_AIPGENE9373-histone H2A-like",0.600983844888137,0.239679405835035,0.129832411618349,0.800235008104692
"ADAM17-Disintegrin and metallo ase domain-containing 17",-0.169189587182801,0.416821348820968,-0.0344878263292636,0.862376693570507
"adssl1-a-NA",-0.583963896682115,0.366827209759355,-0.673268451337815,0.176624201780584
"Atg12-ubiquitin ATG12",-0.270367946072053,0.377435803022826,-0.27857366217516,0.246905524816426
"Atg5-autophagy 5 isoform X1",-0.0510889182699454,0.864872908422959,0.697932054960208,2.45142921596774e-06
"Bcl2-bcl-2 1",0.767678423682614,0.00585656894223153,0.790771998052458,0.00107665754769797
"Bcl3-B-cell lymphoma 3",0.312802594863726,0.184704784964637,0.431926984095663,0.0180775098838494
"BRE-BRCA1-A complex subunit BRE",-0.218207122513587,0.228423822602763,-0.498702362545176,0.000132131311591427
"C1qbp-Complement component 1 Q subcomponent-binding mitochondrial",-0.648990062168894,0.000136745371705528,0.398486923854505,0.0142103910513313
"Ca-alpha1D-NA",0.170513603438286,0.728420409885263,-0.0800385230289322,0.838539050242204
"Camk4-calcium calmodulin-dependent kinase type IV-like",0.0711587774681515,0.794858426648729,-0.0835856314870497,0.665219535357295
"Chuk-Inhibitor of nuclear factor kappa-B kinase subunit alpha",-0.267047105548929,0.171088983557855,0.151570684230717,0.386416136349264
"Csk-Tyrosine- kinase CSK",0.210784687954411,0.304425848173027,0.495748473161026,0.000592016789520993
"Cyba-Cytochrome b-245 light chain",0.29077651864218,0.0750946517827594,0.840313610711257,5.75760111346327e-12
"CYLD-ubiquitin carboxyl-terminal hydrolase CYLD isoform X1",-0.0593646349043335,0.845509399184182,0.615024779786772,7.09974115289634e-05
"Ddx3x-ATP-dependent RNA helicase DDX3X isoform X2",-0.324794905966546,0.0902097864030914,0.978540250749453,4.80080466678305e-12
"DDX58-probable ATP-dependent RNA helicase DDX58",0.719410462815349,0.0371577866380609,1.60955604924604,2.18382481664867e-09
"DHCR24-Delta(24)-sterol reductase",0.0631621710572236,0.866750552378272,-0.730893703027149,0.000121124282729244
"dnmA-tRNA (cytosine(38)-C(5))-methyltransferase",0.0846919927120683,0.85277399398151,-0.202441433275889,0.482699867183357
"Dusp10-Dual specificity phosphatase 10",0.205782132592217,0.637859624300169,0.653542986926603,0.0173837809467278
"dusp22-dual specificity phosphatase 22 isoform X1",0.0650220152396426,0.826088051099798,0.0399415049168699,0.855644026331474
